Prdtypecode,category
10,Used Books
40,Used video games
50,Console games accessories
60,New console games
1140,Action figurines
1160,Trading card games
1180,Role playing games
1280,Childrenâ€™s toys
1281,Board games
1300,Miniature car toys
1301,Indoor games
1302,Outdoor play
1320,Baby care
1560,Furniture
1940,Food
2060,Crafts & souvenirs
2220,Pet accessories
2280,Magazines & Comics
2403,Books magazines & collections
2462,Used video games & accessories
2522,Office supplies
2582,Gardening furniture
2583,Pool & accessories
2585,Gardening tools
2705,New books
2905,Computer games
2910,Household lines
